station,postcode,latitude,longitude,tlc,nlc,stanox,tiploc
Stratford International,E20 1YY,51.5448265067287,-0.0087776493819097,SFA,7222.0,52215,STFODOM
Stratford-Upon-Avon,CV37 6PL,52.1942494432505,-1.71628862569715,SAV,4558.0,66451,SOAV
Stratford-upon-Avon Parkway,CV37 9QY,52.2067801984955,-1.73084255967304,STY,6794.0,66449,SOAVPWY
Strathcarron,IV54 8YR,57.4227402171634,-5.42861414029003,STC,8673.0,01077,STCN
Strawberry Hill,TW1 4PP,51.4389618208826,-0.339358467374499,STW,5607.0,87134,STRWBYH
Streatham,SW16 6HP,51.4258065286346,-0.131550337072254,STE,5383.0,87613,STRETHM
Streatham Common,SW16 5NT,51.4187283969518,-0.136009855738413,SRC,5384.0,87631,STRHCOM
Streatham Hill,SW2 4SA,51.4381912493841,-0.127160115215697,SRH,5435.0,87621,STRHILL
Streethouse,WF7 6UJ,53.6761549497423,-1.4001185311948,SHC,8543.0,18032,STHS
Strines,SK22 3AY,53.3750407324356,-2.03391596739786,SRN,2834.0,32554,STRINES
Stromeferry,IV53 8UH,57.3523047257935,-5.55116233384156,STF,8674.0,01075,STRMFRY
Strood (Kent),ME2 4DR,51.3965460988431,0.500187385993629,SOO,5191.0,88801,STROOD
Stroud (Gloucs),GL5 3AP,51.744623676658,-2.21938297161645,STD,4771.0,68161,STRUD
Sturry,CT2 0ED,51.3010654646998,1.12225519955923,STU,5029.0,89449,STURRY
Styal,SK9 4JW,53.3483317300483,-2.24045632713893,SYA,2868.0,32528,STYAL
Sudbury (Suffolk),CO10 6SU,52.0362752787946,0.735444267137879,SUY,7098.0,50111,SUDBURY
Sudbury and Harrow Road,HA0 2LW,51.5543972853848,-0.315468213939457,SUD,1483.0,63005,SDBRYHR
Sudbury Hill Harrow,HA1 3RJ,51.5584642242574,-0.335802890639327,SDH,1484.0,63004,SDBRYHH
Sugar Loaf,LD5 4TE,52.0822742457185,-3.68694955013524,SUG,4157.0,79079,SGRLOAF
Summerston,G23 5AT,55.898841253824,-4.29153951102481,SUM,9959.0,06236,SUMRSTN
Sunbury,TW16 6RZ,51.4183121769699,-0.41778267818481,SUU,5608.0,87157,SUNBURY
Sunderland,SR1 3HP,54.9053403235388,-1.38230440843798,SUN,7640.0,14031,SNDRLND
Sundridge Park,BR1 3TR,51.4137798289322,0.0214463245563969,SUP,5155.0,88470,SNDP
Sunningdale,SL5 0EL,51.3919397434202,-0.633040735740325,SNG,5671.0,87104,SUNNGDL
Sunnymeads,TW19 5HQ,51.4702875112402,-0.559374238419857,SNY,5675.0,87109,SUNYMDS
Surbiton,KT6 4PE,51.3924584800408,-0.303958562217002,SUR,5571.0,87171,SURBITN
Surrey Quays,SE16 2UE,51.4931947271419,-0.0475186638113895,SQE,1083.0,87572,SURREYQ
Sutton,SM1 1JA,51.359531766823,-0.191214819817375,SUO,5385.0,87671,SUTTON
Sutton Coldfield,B73 6AY,52.5649433590555,-1.82484428740085,SUT,1044.0,65603,SUTCO
Sutton Common,SM1 3HY,51.3748893450911,-0.196342580370038,SUC,5436.0,87339,SUTTONC
Sutton Parkway,NG17 5LG,53.1140931351119,-1.24556836556546,SPK,1861.0,56237,STTNPWY
Swale,ME9 8SS,51.3892333604497,0.747133594323348,SWL,5249.0,89111,SWALE
Swanley,BR8 8JD,51.3933848283026,0.169225348689167,SAY,5075.0,88486,SWLY
Swanscombe,DA10 0AG,51.4490682940967,0.309543181632021,SWM,5156.0,88705,SWNSCMB
Swansea,SA1 1NU,51.6251505561588,-3.94154689427407,SWA,4222.0,79304,SWANSEA
Swanwick,SO31 1BA,50.8756702306636,-1.2658525124398,SNW,5920.0,86225,SWNWICK
Sway,SO41 6BA,50.7847039688599,-1.60999592121089,SWY,5884.0,86909,SWAY
Swaythling,SO18 2LB,50.9411489685429,-1.37640873108759,SWG,5933.0,86497,SWYTHLN
Swinderby,LN6 9HY,53.1695553589668,-0.70267949035005,SWD,6355.0,44073,SWNDRBY
Swindon (Wilts),SN1 1DQ,51.5654735544201,-1.78551136201029,SWI,3333.0,75012,SDON
